Target_Row,State,Strain,HIV,Age,Target,Current,Round
0,HPV,LOW_RISK,NORMAL,<30,10.4,0.994304008586189,0
1,HPV,LOW_RISK,NORMAL,30_40,14.3,1.5415430247798119,1
2,HPV,LOW_RISK,NORMAL,40_50,19.1,2.3073123438050107,2
3,HPV,LOW_RISK,NORMAL,50_60,17.8,3.0944312644059604,3
4,HPV,HIGH_RISK,NORMAL,<30,28.3,0.9724342073548873,1
5,HPV,HIGH_RISK,NORMAL,30_40,23.2,1.1645290095860505,5
6,HPV,HIGH_RISK,NORMAL,40_50,19.9,1.0838531974897472,8
7,HPV,HIGH_RISK,NORMAL,50_60,18.1,1.1156617916642648,11
8,HPV,SIXTEEN,NORMAL,<30,6.0,0.9630076325114056,1
9,HPV,SIXTEEN,NORMAL,30_40,5.0,1.1765307872941773,5
10,HPV,SIXTEEN,NORMAL,40_50,2.5,0.8040289221456196,8
11,HPV,SIXTEEN,NORMAL,50_60,2.2,0.8926242500210853,11
12,HPV,EIGHTEEN,NORMAL,<30,2.1,0.9279064839755837,1
13,HPV,EIGHTEEN,NORMAL,30_40,1.7,1.4335633626097868,5
14,HPV,EIGHTEEN,NORMAL,40_50,0.9,0.9946644445639123,8
15,HPV,EIGHTEEN,NORMAL,50_60,0.7,0.6168012291038254,11
16,CIN23,HIGH_RISK,NORMAL,20_25,0.402748414,2.0964961043609023,2
17,CIN23,HIGH_RISK,NORMAL,25_30,0.593742508,0.380080421812313,3
18,CIN23,HIGH_RISK,NORMAL,30_40,0.485789325,0.33978401599251135,6
19,CIN23,HIGH_RISK,NORMAL,40_50,0.298947277,0.1774345856356206,9
20,CIN23,HIGH_RISK,NORMAL,50_60,0.174385911,0.14020969189898497,12
21,CIN23,HIGH_RISK,NORMAL,60_80,0.18061398,0.1605080415569276,14
22,CIN23,SIXTEEN,NORMAL,20_25,0.364693446,0.829245244461901,2
23,CIN23,SIXTEEN,NORMAL,25_30,0.537640854,0.5133213165976739,3
24,CIN23,SIXTEEN,NORMAL,30_40,0.439887971,0.27896165729026007,6
25,CIN23,SIXTEEN,NORMAL,40_50,0.27070029,0.18651914860784094,9
26,CIN23,SIXTEEN,NORMAL,50_60,0.157908502,0.17312740835815082,12
27,CIN23,SIXTEEN,NORMAL,60_80,0.163548092,0.15951971679916963,14
28,CIN23,EIGHTEEN,NORMAL,20_25,0.05179704,4.154018247877759,2
29,CIN23,EIGHTEEN,NORMAL,25_30,0.076360585,0.21322723057901952,3
30,CIN23,EIGHTEEN,NORMAL,30_40,0.062476842,0.24392493546783628,6
31,CIN23,EIGHTEEN,NORMAL,40_50,0.038447288,0.18118114694167853,9
32,CIN23,EIGHTEEN,NORMAL,50_60,0.022427584,0.18628383057644113,12
33,CIN23,EIGHTEEN,NORMAL,60_80,0.02322857,0.11387449240667749,14
34,CANCER,ALL,NORMAL,<30,2.9,0.1011754475155861,4
35,CANCER,ALL,NORMAL,30_40,19.0,0.2331197166956451,7
36,CANCER,ALL,NORMAL,40_50,31.6,0.22851863553881108,10
37,CANCER,ALL,NORMAL,50_60,37.0,0.2889458974526665,13
38,CANCER,ALL,NORMAL,60_70,41.5,0.3902366288121623,15
39,CANCER,ALL,NORMAL,70+,43.3,0.12667417596642017,16
